Gene	Value
CSNK2A1	2936.6137981630654
CSNK2A2	1226.871614300319
CSNK2A3	976.5714866087344
CSNK2B	6219.7207895324245
CTH	392.515458133
CTLA4	43.7120801733
CTNNA1	19542.891077200235
CTNNA2	77.70103312173144
CTNNA3	5.044645178759899
CTNNB1	21859.82382
CTNNBL1	2567.10841975
CTNND1	18347.4916569
CTPS1	1635.1567288323906
CTPS2	1707.9589846776096
CTSA	4595.64196293
CTSB	35708.2283161
CTSG	69.7109967497
CTTN	12166.376837979988
CUL1	3616.8731225973593
CUL4A	4999.735741373423
CUL4B	4439.186174736578
CWC15	2039.69859542
CYB5R1	3415.583442977228
CYB5R2	509.6607723266551
CYB5R3	16555.301372875503
CYB5R4	507.9580366828952
CYB5RL	182.5357336328454
CYC1	5950.092361838404
CYCS	5386.44290744
CYP11A1	65.8028362483
CYP11B1	0.05589305061135376
CYP11B2	0.00503018108652
CYP17A1	1.98994331373
CYP19A1	76.4259982975
CYP1A1	46.329225352073685
CYP1A2	7.1006810091263075
CYP1B1	7879.031535365513
CYP21A2	81.7926247872
CYP24A1	167.956856524
CYP26A1	8.81829438167
CYP26B1	344.59474152667366
CYP26C1	0.8520159418045212
CYP27A1	4366.16963318
CYP27B1	53.1748568333
CYP2A13	0.302874941959
CYP2A6	16.223785017744337
CYP2B6	0.9676520662415357
CYP2C18	0.6982990249184982
CYP2C19	0.11697724810369199
CYP2C8	10.522751895968076
CYP2C9	0.49330598978430534
CYP2D6	25.4142547593
CYP2E1	222.494067869
CYP2F1	0.4662977867215701
CYP2J2	648.738856213703
CYP2R1	592.225332766
CYP2S1	130.50773874002167
CYP2U1	2026.42652105
CYP39A1	1645.94861477
CYP3A4	3.4242764277944864
CYP3A5	856.9864844837194
CYP3A7	36.31572337872834
CYP46A1	75.0562606408
CYP4A11	1.752418356289472
CYP4A22	0.3599868441405282
CYP4F2	330.7912281382196
CYP4F3	45.30239127078042
CYP4F8	6904.77620628
CYP51A1	6009.36916886
CYP7A1	1.8401369757
CYP7B1	250.587118867
CYP8B1	6.28331527627
CYSLTR1	102.56593406606106
CYSLTR2	129.07612985616555
DAGLA	585.9150673273316
DAGLB	1095.2887161426684
DAO	0.579225352113
DBF4	378.069126683
DBH	69.9925404349
DBI	14066.2761182
DBT	3457.59897849
DCK	1080.75417892
DCT	5.85992880359
DCTD	4131.95579245
DCTPP1	1810.46302488
DCXR	11830.8877395
DDB1	17455.676095
DDB2	1157.72599056
DDC	183.142953877
DDO	122.110432596
DDX23	5748.2103583
DDX39B	11243.9810888
DDX42	7280.418375642281
DDX46	2986.94898236
DDX5	28068.6224307
DEGS1	10003.296761382411
DEGS2	325.55208172275394
DERA	853.653362483
DFFA	1211.48256849
DFFB	283.572144405
DGAT1	1831.0131028465669
DGAT2	399.22792524414785
DGKA	1417.9200781598643
DGKB	17.490674818169275
DGKD	2909.055177217941
DGKE	851.9621575592398
DGKG	155.73964943518544
DGKH	67.71353118709862
DGKI	6.983439096113333
DGKK	6.550340504566396
DGKQ	952.8413171349554
DGKZ	1632.1116313300017
DGUOK	2098.2890226
DHCR24	47340.473583
DHCR7	4213.70236805
DHDDS	1858.527472524045
DHDH	324.141232007
DHFR	526.72663713
DHODH	460.785288655
DHRS3	11017.31624363573
DHRS4	2275.0677660167757
DHRS4L1	45.27973610900597
DHRS4L2	1023.2594519018475
DHRS9	56.87233013465397
DHX15	5646.03958366
DHX16	2031.75553552
DHX38	2952.57373936
DHX8	2120.10108729
DIAPH1	4946.09572822
DIO1	53.734425785445936
DIO2	1728.004507814376
DIO3	77.6938747872
DLAT	2115.40513214
DLD	4296.755668626655
DLST	5068.57162204
DMGDH	109.155935614
DNA2	156.643476242
DNMT1	1795.5769037321415
DNMT3A	972.7889645591275
DNMT3B	78.4528904195849
DOCK1	4298.68216994
DOT1L	1298.1114423049378
DPYD	1091.85671723
DPYS	382.023235567
DRD1	74.74299644017361
DRD2	50.44155316507698
DRD5	10.321563999351035
DTYMK	1010.5749497
DUOX2	769.996981891
DUOXA2	135.971386202
DUT	2468.40103564
DVL1	4086.3022751830017
DVL2	2285.2963743910655
DVL3	5174.945712725932
E2F1	230.3161855751468
E2F2	62.37231078777867
E2F3	631.3802429960746
E2F4	2469.412107262762
E2F5	405.5645714672379
EARS2	1730.5377263599191
EBP	4275.39552701
ECHDC1	2375.75497214
ECHS1	11961.877689188212
ECI1	3549.1947067021083
ECI2	4113.145481736722
EDN1	485.832262808
EDNRA	2974.8380475107438
EDNRB	1989.54411082
EFTUD2	3375.73626509
EGF	466.6904697406502
EGFR	2855.0999284148716
EHHADH	1098.4605014679164
EHMT1	3367.191282308126
EHMT2	3627.7651098855627
EI24	6558.349849092945
EIF4A3	4108.83657716
EIF4E	1378.072163753554
EIF4E1B	0.4772867977103666
EIF4E2	3028.226841820957
EIF4EBP1	1512.19110819
ELF5	903.1081102
ELK1	1935.29680003
ELOVL1	4957.888813638177
ELOVL2	1500.9038461502075
ELOVL3	5.1213240984195725
ELOVL4	440.64099984484426
ELOVL5	18355.079089891664
ELOVL6	515.1075297937334
ELOVL7	3891.9789312633447
ENDOG	830.585658567
ENO1	32073.436213446555
ENO2	1275.4997678393308
ENO3	380.58313341748516
ENOPH1	2720.53554016
ENOSF1	2102.11637382
ENPEP	223.250251509
ENPP1	970.3693700674901
ENPP2	2221.47173425
ENPP3	825.2282541425099
ENPP4	3288.7322009015
ENPP6	230.74963241
ENPP7	0.2734483826032485
ENTPD1	2227.733350291875
ENTPD2	1033.39336016
ENTPD3	381.64413422888003
ENTPD4	1317.817191610228
ENTPD5	4199.167750538103
ENTPD6	9705.451652233865
ENTPD8	36.50073518030315
EP300	6071.767354141038
EPB41	3803.9771921797765
EPB41L1	3257.0471869597704
EPB41L2	1969.6819377693753
EPB41L3	1121.7807227910769
EPHX1	9463.7665996
EPHX2	6173.17630785
EPRS	6008.14349559008
ERBB2	14663.517876482001
ERBB3	11674.471850338823
ERBB4	233.05529329830404
ERCC1	2841.802962
ERCC2	1246.1739723
ERCC3	2602.70035598
ERCC4	741.065005417
ERCC5	2693.97430893
ERCC6	751.809405665
ERCC8	304.11836403
ESAM	942.538348553
ESPL1	82.0492183872
ESR1	775.186213434
ESR2	34.15001547744862
ETHE1	1815.02792989
ETNK1	3143.037765050268
ETNK2	937.0387323930655
ETNPPL	2.62732162204
EXOC3	3136.36097353
EXOC4	3572.97337873
EXOC7	10928.3414524
F11R	9072.99401583
F2R	1548.88045581
FABP1	1.2062954650940885
FABP2	0.18220863643330973
FABP3	1048.30722798
FABP4	42.30049527933449
FABP5	585.8822744134201
FABP6	2.1333191456391183
FABP7	22.391773719178282
FADD	998.815721251
FADS2	16016.7749938
FAH	1398.99638214
FAHD1	1478.97159534
FAM213B	2290.42740036
FARP2	1043.91206857
FAS	862.257899706
FASLG	18.2915183408
FASN	53950.9934584
FAXDC2	2272.420194240523
FBP1	4303.51625134866
FBP2	84.3787778595841
FDFT1	9438.05293298
FDPS	4553.745465678531
FECH	3083.7924083
FEN1	949.471889026
FER	135.857974772
FFAR1	0.199001702523
FFAR2	412.0932711652752
FGFR1	5327.15821854
FH	3187.97181164
FHIT	156.49804596815503
FKBP4	13599.114983531608
FKBP5	17027.34249726839
FLAD1	1525.48229763
FLNA	165125.42709603137
FLNB	37643.150584085575
FLNC	26968.055371883034
FLOT1	9123.910133863406
FLOT2	10304.483671236594
FLT1	2336.7194513226063
FLT4	464.30546741983795
FMO1	23.623471598929253
FMO2	516.8302507372537
FMO3	36.86261801590861
FMO4	196.41083036800043
FMO5	927.5982239612692
FN1	44617.033574198074
FNTA	3717.4357297622023
FNTB	1583.5937089877973
FOLH1	23458.3569687
FOS	49859.93039776288
FOXO1	1773.64964789
FOXO3	6134.36203761
FPGS	2743.59191689
FPGT	962.000741178
FSHB	1.16059820461
FSHR	0.10598204612265788
FTCD	31.4934994583
FUK	1293.50326962
FXN	675.1878579180093
FXYD1	665.268901873
FXYD2	10.365423309071252
FYN	703.542717846
FZD1	3408.0805989763644
FZD10	283.8411817068864
FZD2	165.15080869859298
FZD3	538.5650054171462
FZD4	5220.280784330874
FZD5	2850.5943352457093
FZD6	1977.4401214985228
FZD7	2666.281883614377
FZD8	653.0219393295322
FZD9	165.184743074107
FZR1	2804.70608265
G6PC	1.0277627302282044
G6PC2	1.0114146416966965
G6PC3	4445.185091320201
G6PD	1941.41571738
GAA	10706.827174591554
GABBR1	1249.8391409992844
GABBR2	21.001605788509536
GAD1	60.54869602224755
GAD2	0.7953683640279142
GADD45A	1371.698015015544
GADD45B	5832.178010370397
GADD45G	4010.017683025274
GADL1	11.06142624976401
GAL3ST1	49.3095496053
GALC	2241.48862405
GALE	1273.6910308
GALK1	637.136666151
GALM	1632.89262498
GALT	1328.4932673
GAMT	2437.3295349
GANC	572.4854209877509
GAPDH	81231.26824641011
GAPDHS	4.021413287419435
GART	2339.78275422
GATA4	11.5806957127
GATM	824.434743074
GBA	3308.572183100597
GBA2	3633.180881439403
GBA3	11.5249380901
GBE1	1288.09240056
GCAT	2717.46979957
GCDH	1623.78764897
